Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
91	9.763	10.658	11.554	12.493	13.478	14.508	15.585	16.709	17.833
92	9.771	10.668	11.564	12.504	13.490	14.522	15.600	16.725	17.851
93	9.780	10.677	11.574	12.515	13.502	14.535	15.614	16.742	17.869
94	9.788	10.686	11.584	12.526	13.514	14.548	15.629	16.758	17.887
95	9.797	10.696	11.594	12.537	13.526	14.561	15.643	16.774	17.904
96	9.805	10.705	11.604	12.548	13.538	14.574	15.658	16.790	17.922
97	9.814	10.714	11.613	12.558	13.549	14.587	15.672	16.806	17.940
98	9.822	10.723	11.623	12.569	13.561	14.599	15.686	16.821	17.956
99	9.831	10.732	11.633	12.579	13.572	14.612	15.700	16.837	17.974
100	9.839	10.740	11.642	12.590	13.584	14.625	15.714	16.853	17.991
101	9.847	10.749	11.652	12.600	13.595	14.637	15.728	16.868	18.008
102	9.855	10.758	11.661	12.610	13.606	14.650	15.742	16.883	18.025
103	9.863	10.767	11.671	12.620	13.617	14.662	15.755	16.898	18.041
104	9.871	10.776	11.680	12.631	13.628	14.674	15.769	16.913	18.058
105	9.879	10.784	11.689	12.640	13.639	14.686	15.782	16.928	18.074
106	9.887	10.793	11.698	12.651	13.650	14.698	15.795	16.943	18.090
107	9.895	10.801	11.707	12.660	13.661	14.710	15.809	16.958	18.107
108	9.903	10.809	11.716	12.670	13.672	14.722	15.822	16.972	18.123
109	9.910	10.818	11.725	12.680	13.682	14.734	15.835	16.987	18.139
110	9.918	10.826	11.734	12.689	13.693	14.745	15.847	17.001	18.154
111	9.925	10.834	11.743	12.699	13.703	14.757	15.860	17.015	18.170
112	9.932	10.842	11.751	12.708	13.713	14.768	15.873	17.030	18.186
113	9.940	10.850	11.760	12.718	13.724	14.779	15.886	17.043	18.201
114	9.947	10.858	11.769	12.727	13.734	14.791	15.898	17.058	18.217
115	9.955	10.866	11.777	12.736	13.744	14.802	15.910	17.071	18.232
116	9.962	10.873	11.785	12.745	13.754	14.813	15.923	17.085	18.247
117	9.969	10.881	11.794	12.754	13.764	14.824	15.935	17.098	18.262
118	9.976	10.889	11.802	12.763	13.774	14.834	15.947	17.112	18.277
119	9.983	10.897	11.810	12.772	13.783	14.845	15.959	17.125	18.291
120	9.990	10.904	11.818	12.781	13.793	14.856	15.971	17.138	18.306
121	9.997	10.912	11.826	12.790	13.803	14.866	15.982	17.151	18.321
122	10.003	10.919	11.834	12.798	13.812	14.877	15.994	17.165	18.335
123	10.010	10.926	11.842	12.807	13.821	14.887	16.006	17.177	18.349
124	10.017	10.933	11.850	12.815	13.831	14.898	16.017	17.190	18.364
125	10.024	10.941	11.858	12.824	13.840	14.908	16.028	17.203	18.377
126	10.030	10.948	11.865	12.832	13.849	14.918	16.040	17.216	18.392
127	10.037	10.955	11.873	12.840	13.858	14.928	16.051	17.228	18.405
128	10.043	10.962	11.880	12.848	13.867	14.938	16.062	17.240	18.418
129	10.050	10.969	11.888	12.856	13.876	14.948	16.073	17.253	18.432
130	10.056	10.976	11.895	12.864	13.885	14.957	16.083	17.264	18.445
131	10.062	10.982	11.902	12.872	13.893	14.967	16.094	17.277	18.459
132	10.068	10.989	11.910	12.880	13.902	14.976	16.105	17.288	18.472
133	10.074	10.995	11.917	12.888	13.910	14.986	16.116	17.301	18.486
134	10.081	11.002	11.924	12.896	13.919	14.995	16.126	17.312	18.498
135	10.087	11.009	11.931	12.903	13.927	15.004	16.136	17.323	18.511
136	10.092	11.015	11.938	12.911	13.936	15.014	16.146	17.335	18.524
137	10.099	11.022	11.945	12.918	13.944	15.023	16.157	17.346	18.536
138	10.104	11.028	11.951	12.925	13.952	15.032	16.167	17.358	18.549
139	10.110	11.034	11.958	12.933	13.960	15.041	16.177	17.369	18.561
140	10.116	11.040	11.965	12.940	13.968	15.049	16.186	17.380	18.573
141	10.121	11.046	11.971	12.947	13.976	15.058	16.196	17.391	18.586
142	10.127	11.052	11.978	12.954	13.984	15.067	16.206	17.402	18.598
143	10.133	11.059	11.984	12.961	13.991	15.075	16.215	17.412	18.609
144	10.138	11.064	11.991	12.968	13.999	15.084	16.225	17.423	18.622
145	10.144	11.070	11.997	12.975	14.006	15.092	16.234	17.434	18.633
146	10.149	11.076	12.003	12.982	14.014	15.101	16.244	17.444	18.645
147	10.154	11.082	12.009	12.989	14.021	15.109	16.253	17.455	18.657
148	10.160	11.088	12.015	12.995	14.029	15.117	16.262	17.465	18.668
149	10.165	11.093	12.022	13.002	14.036	15.125	16.271	17.475	18.679
150	10.170	11.099	12.027	13.008	14.043	15.133	16.280	17.485	18.691
151	10.175	11.104	12.033	13.015	14.050	15.141	16.289	17.495	18.701
152	10.180	11.110	12.039	13.021	14.057	15.149	16.297	17.505	18.712
153	10.185	11.115	12.045	13.028	14.064	15.157	16.306	17.515	18.724
154	10.190	11.120	12.051	13.034	14.071	15.164	16.315	17.524	18.734
155	10.195	11.126	12.056	13.040	14.078	15.172	16.323	17.534	18.745
156	10.200	11.131	12.062	13.046	14.084	15.179	16.331	17.543	18.755
157	10.204	11.136	12.068	13.052	14.091	15.187	16.340	17.553	18.766
158	10.209	11.141	12.073	13.058	14.098	15.194	16.348	17.562	18.776
159	10.214	11.146	12.078	13.064	14.104	15.201	16.356	17.571	18.786
160	10.219	11.151	12.084	13.070	14.111	15.208	16.364	17.580	18.796
161	10.223	11.156	12.089	13.075	14.117	15.215	16.372	17.589	18.807
162	10.228	11.161	12.094	13.081	14.123	15.222	16.380	17.598	18.816
163	10.232	11.166	12.100	13.087	14.130	15.229	16.388	17.607	18.826
164	10.237	11.171	12.105	13.093	14.136	15.236	16.395	17.616	18.836
165	10.241	11.176	12.110	13.098	14.142	15.243	16.403	17.624	18.845
166	10.245	11.180	12.115	13.103	14.148	15.250	16.411	17.633	18.855
167	10.250	11.185	12.120	13.109	14.154	15.256	16.418	17.642	18.865
168	10.254	11.189	12.125	13.114	14.160	15.263	16.426	17.650	18.874
169	10.258	11.194	12.130	13.120	14.166	15.269	16.433	17.658	18.883
170	10.262	11.198	12.134	13.125	14.171	15.276	16.440	17.666	18.892
