Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
1886		13,10	14,10	15,20	16,60	18,20	20,00	22,20	
1916		13,10	14,10	15,30	16,60	18,20	20,10	22,30	
1947		13,10	14,10	15,30	16,70	18,30	20,20	22,50	
1977		13,20	14,20	15,30	16,70	18,30	20,20	22,60	
2008		13,20	14,20	15,40	16,70	18,40	20,30	22,70	
2038		13,20	14,20	15,40	16,80	18,40	20,40	22,80	
2069		13,30	14,30	15,50	16,80	18,50	20,50	23,00	
2099		13,30	14,30	15,50	16,90	18,50	20,60	23,10	
2130		13,40	14,40	15,50	16,90	18,60	20,70	23,30	
2160		13,40	14,40	15,60	17,00	18,70	20,80	23,40	
2191		13,40	14,40	15,60	17,00	18,70	20,90	23,60	
2221		13,50	14,50	15,70	17,10	18,80	21,00	23,70	
2252		13,50	14,50	15,70	17,10	18,90	21,10	23,90	
2282		13,60	14,60	15,80	17,20	18,90	21,20	24,10	
2313		13,60	14,60	15,80	17,20	19,00	21,30	24,30	
2343		13,70	14,70	15,90	17,30	19,10	21,40	24,50	
2374		13,70	14,70	15,90	17,40	19,20	21,50	24,70	
2404		13,80	14,80	16,00	17,40	19,20	21,60	24,90	
2435		13,80	14,80	16,00	17,50	19,30	21,70	25,10	
2465		13,90	14,90	16,10	17,50	19,40	21,90	25,30	
2496		13,90	14,90	16,10	17,60	19,50	22,00	25,50	
2526		13,90	14,90	16,20	17,60	19,50	22,10	25,70	
2557		14,00	15,00	16,20	17,70	19,60	22,20	25,90	
2587		14,00	15,00	16,30	17,80	19,70	22,30	26,10	
2618		14,10	15,10	16,30	17,80	19,80	22,50	26,40	
2648		14,10	15,10	16,40	17,90	19,90	22,60	26,60	
2679		14,20	15,20	16,40	17,90	19,90	22,70	26,80	
2709		14,20	15,20	16,50	18,00	20,00	22,80	27,10	
2740		14,30	15,30	16,50	18,10	20,10	23,00	27,30	
2770		14,30	15,30	16,50	18,10	20,20	23,10	27,60	
2801		14,30	15,40	16,60	18,20	20,30	23,20	27,80	
2831		14,40	15,40	16,60	18,20	20,30	23,30	28,10	
2862		14,40	15,40	16,70	18,30	20,40	23,50	28,30	
2892		14,50	15,50	16,70	18,30	10,50	23,60	28,60	
2920		14,50	15,50	16,80	18,40	20,60	23,70	28,80	
