Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
91	9.370	10.218	11.066	11.999	13.024	14.155	15.402	16.780	18.158
92	9.378	10.227	11.077	12.010	13.037	14.169	15.417	16.797	18.177
93	9.386	10.237	11.087	12.021	13.050	14.182	15.432	16.814	18.195
94	9.395	10.246	11.097	12.033	13.062	14.196	15.447	16.830	18.213
95	9.404	10.256	11.108	12.044	13.074	14.210	15.462	16.847	18.231
96	9.412	10.265	11.118	12.055	13.087	14.223	15.477	16.863	18.249
97	9.420	10.274	11.128	12.066	13.099	14.237	15.492	16.880	18.267
98	9.428	10.283	11.138	12.077	13.111	14.250	15.507	16.896	18.285
99	9.436	10.292	11.147	12.088	13.123	14.263	15.521	16.912	18.303
100	9.444	10.301	11.157	12.099	13.134	14.276	15.536	16.928	18.320
101	9.452	10.310	11.167	12.109	13.146	14.289	15.550	16.943	18.337
102	9.460	10.318	11.177	12.120	13.158	14.302	15.564	16.959	18.354
103	9.468	10.327	11.186	12.130	13.169	14.314	15.578	16.974	18.371
104	9.475	10.335	11.195	12.140	13.181	14.327	15.592	16.990	18.388
105	9.483	10.344	11.205	12.151	13.192	14.339	15.606	17.005	18.404
106	9.491	10.352	11.214	12.161	13.203	14.352	15.619	17.020	18.421
107	9.498	10.361	11.223	12.171	13.214	14.364	15.633	17.035	18.437
108	9.506	10.369	11.232	12.181	13.225	14.376	15.646	17.049	18.453
109	9.513	10.377	11.241	12.191	13.236	14.388	15.659	17.064	18.469
110	9.520	10.385	11.250	12.201	13.247	14.400	15.672	17.079	18.485
111	9.528	10.393	11.259	12.210	13.257	14.412	15.685	17.093	18.501
112	9.535	10.401	11.268	12.220	13.268	14.423	15.698	17.107	18.517
113	9.542	10.409	11.276	12.229	13.278	14.435	15.711	17.121	18.532
114	9.549	10.417	11.285	12.239	13.289	14.446	15.723	17.135	18.547
115	9.556	10.424	11.293	12.248	13.299	14.457	15.736	17.149	18.562
116	9.563	10.432	11.301	12.257	13.309	14.468	15.748	17.162	18.577
117	9.570	10.440	11.310	12.266	13.319	14.479	15.760	17.176	18.591
118	9.576	10.447	11.318	12.275	13.329	14.490	15.772	17.189	18.606
119	9.583	10.454	11.326	12.284	13.339	14.501	15.784	17.203	18.621
120	9.589	10.461	11.334	12.293	13.348	14.512	15.796	17.216	18.635
121	9.596	10.469	11.342	12.301	13.358	14.522	15.808	17.229	18.650
122	9.602	10.476	11.349	12.310	13.367	14.533	15.819	17.241	18.663
123	9.608	10.483	11.357	12.318	13.377	14.543	15.831	17.254	18.677
124	9.615	10.490	11.365	12.327	13.386	14.553	15.842	17.266	18.691
125	9.621	10.496	11.372	12.335	13.395	14.563	15.853	17.279	18.704
126	9.627	10.503	11.380	12.343	13.404	14.573	15.864	17.291	18.718
127	9.633	10.510	11.387	12.351	13.413	14.583	15.875	17.303	18.731
128	9.639	10.517	11.394	12.359	13.422	14.593	15.886	17.315	18.744
129	9.645	10.523	11.402	12.367	13.430	14.602	15.896	17.327	18.757
130	9.650	10.530	11.409	12.375	13.439	14.612	15.907	17.338	18.770
131	9.656	10.536	11.416	12.383	13.448	14.621	15.917	17.350	18.782
132	9.662	10.542	11.423	12.391	13.456	14.630	15.927	17.361	18.794
133	9.668	10.549	11.430	12.398	13.464	14.640	15.937	17.372	18.806
134	9.673	10.555	11.436	12.405	13.472	14.649	15.947	17.383	18.819
135	9.679	10.561	11.443	12.413	13.480	14.658	15.957	17.394	18.831
136	9.684	10.567	11.450	12.420	13.489	14.667	15.967	17.405	18.843
137	9.689	10.573	11.456	12.427	13.496	14.675	15.977	17.416	18.855
138	9.695	10.579	11.462	12.434	13.504	14.684	15.986	17.426	18.866
139	9.700	10.584	11.469	12.441	13.512	14.693	15.996	17.437	18.878
140	9.705	10.590	11.475	12.448	13.520	14.701	16.005	17.447	18.889
141	9.710	10.596	11.482	12.455	13.527	14.709	16.014	17.457	18.900
142	9.715	10.602	11.488	12.462	13.535	14.718	16.023	17.467	18.911
143	9.720	10.607	11.494	12.469	13.542	14.726	16.032	17.477	18.922
144	9.725	10.612	11.500	12.475	13.550	14.734	16.041	17.487	18.933
145	9.730	10.618	11.506	12.482	13.557	14.742	16.050	17.497	18.944
146	9.735	10.623	11.511	12.488	13.564	14.750	16.059	17.507	18.955
147	9.740	10.629	11.517	12.495	13.571	14.757	16.067	17.516	18.965
148	9.744	10.634	11.523	12.501	13.578	14.765	16.076	17.526	18.975
149	9.749	10.639	11.529	12.507	13.585	14.773	16.084	17.535	18.986
150	9.753	10.644	11.534	12.513	13.592	14.780	16.093	17.544	18.996
151	9.758	10.649	11.540	12.520	13.598	14.788	16.101	17.553	19.005
152	9.763	10.654	11.545	12.526	13.605	14.795	16.109	17.562	19.015
153	9.767	10.659	11.551	12.532	13.612	14.802	16.117	17.571	19.025
