Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
1886		13	14,1	15,4	16,9	18,6	20,6	23	
1916		13	14,2	15,5	17	18,7	20,7	23,1	
1947		13	14,2	15,5	17	18,7	20,8	23,2	
1977		13,1	14,2	15,5	17	18,8	20,9	23,3	
2008		13,1	14,2	15,6	17,1	18,9	20,9	23,4	
2038		13,1	14,3	15,6	17,1	18,9	21	23,5	
2069		13,1	14,3	15,6	17,2	19	21,1	23,6	
2099		13,2	14,3	15,7	17,2	19	21,2	23,8	
2130		13,2	14,4	15,7	17,3	19,1	21,3	23,9	
2160		13,2	14,4	15,7	17,3	19,2	21,4	24	
2191		13,2	14,4	15,8	17,4	19,2	21,5	24,1	
2221		13,3	14,4	15,8	17,4	19,3	21,5	24,3	
2252		13,3	14,5	15,8	17,5	19,4	21,6	24,4	
2282		13,3	14,5	15,9	17,5	19,4	21,7	24,5	
2313		13,3	14,5	15,9	17,6	19,5	21,8	24,6	
2343		13,4	14,6	16	17,6	19,6	21,9	24,8	
2374		13,4	14,6	16	17,7	19,6	22	24,9	
2404		13,4	14,6	16	17,7	19,7	22,1	25,1	
2435		13,4	14,6	16,1	17,8	19,8	22,2	25,2	
2465		13,5	14,7	16,1	17,8	19,8	22,3	25,4	
2496		13,5	14,7	16,1	17,9	19,9	22,4	25,5	
2526		13,5	14,7	16,2	17,9	20	22,5	25,7	
2557		13,5	14,8	16,2	18	20	22,6	25,8	
2587		13,6	14,8	16,3	18	20,1	22,7	26	
2618		13,6	14,8	16,3	18,1	20,2	22,8	26,1	
2648		13,6	14,9	16,4	18,1	20,3	22,9	26,3	
2679		13,6	14,9	16,4	18,2	20,4	23	26,5	
2709		13,7	14,9	16,4	18,2	20,4	23,2	26,6	
2740		13,7	15	16,5	18,3	20,5	23,3	26,8	
2770		13,7	15	16,5	18,4	20,6	23,4	27	
2801		13,8	15	16,6	18,4	20,7	23,5	27,2	
2831		13,8	15,1	16,6	18,5	20,8	23,6	27,3	
2862		13,8	15,1	16,7	18,5	20,8	23,7	27,5	
2892		13,8	15,1	16,7	18,6	20,9	23,9	27,7	
2920		13,9	15,2	16,8	18,7	21	24	27,9	
