difference	ionIdx	index diff	log2(FC)	p-value	adj p-value (BH)	pFDR (Storey)	q-value (Storey)	m/z	hmdb_id	kegg_id	other_id	name	mz difference	formula	ion	annotation score
META vegan:META ctrl	1	1	-0,261970493	0,003866035	0,017836944	0,007305258	0,007305258	57,03438372	"HMDB0001659; HMDB0003366; HMDB0031558; HMDB0031652; HMDB01659; HMDB03366; HMDB31558; HMDB31652"	"C00207; C00479; C02001; C15508"	"CHEBI:15347; CHEBI:16605; CHEBI:17153; CHEBI:38685"	Acetone	0,000204379	C3H6O	-H(-)	100
META vegan:META ctrl	2	2	-0,260207921	0,049087602	0,125526067	0,051410171	0,051410171	59,01374188	"HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344"	"C00033; C00266"	"CHEBI:15366; CHEBI:17071"	Acetatic acid	0,00011082	C2H4O2	-H(-)	100
META vegan:META ctrl	3	3	-0,191757331	0,169300006	0,308848547	0,126491309	0,126491309	67,0185461	"HMDB0006853; HMDB0013785; HMDB06853; HMDB06945; HMDB13785"	"C00089; C06145"	"CHEBI:17992; CHEBI:28180"	Butynal	0,000392004	C4H4O	-H(-)	100
META vegan:META ctrl	4	4	-0,014075792	0,889840606	0,94282018	0,38613929	0,38613929	69,03480724	"HMDB0034233; HMDB0061873; HMDB0061874; HMDB34233; HMDB61873; HMDB61874"		CHEBI:48058	Butynol	-0,000219141	C4H6O	-H(-)	100
META vegan:META ctrl	5	5	0,039010144	0,462087018	0,619299585	0,254671515	0,253638931	71,01391932	"HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647"	"C00511; C00546; C19440"	"CHEBI:17158; CHEBI:18308; CHEBI:566274"	Propenoic acid C3:1	-6,66219E-05	C3H4O2	-H(-)	100
META vegan:META ctrl	6	6	-0,144203463	0,078710968	0,178275232	0,073013999	0,073013999	73,02977706	"HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB0006961; HMDB00237; HMDB0031229; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB06961; HMDB31229; HMDB31523"	"C00163; C00424; C00937; C00969; C05235; C17530"	"CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:27957; CHEBI:30768; CHEBI:52342"	C3:0 (Propionic acid)	-0,000274357	C3H6O2	-H(-)	100
META vegan:META ctrl	7	7	0,328571656	0,000303782	0,002136275	0,000874928	0,000874928	74,02498759	"HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239"	"C00037; C06808"	"CHEBI:15428; CHEBI:27777"	Glycine	-0,000235892	C2H5NO2	-H(-)	100
META vegan:META ctrl	8	8	0,128822003	0,224023906	0,377850765	0,154751701	0,154751701	75,00907533	"HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608"	C00160	CHEBI:17497	Glycolate	-0,000308027	C2H4O3	-H(-)	100
META vegan:META ctrl	9	9	-0,169162951	0,015832419	0,053304514	0,021831276	0,021831276	77,0396704	"HMDB0001505; HMDB01505"	C01407	CHEBI:16716	Benzene	3,09635E-06	C6H6	-H(-)	100
META vegan:META ctrl	10	10	0,005317975	0,937865898	0,970129375	0,397323982	0,397323982	83,01324813	"HMDB0032330; HMDB0094691; HMDB32330; HMDB94691"	C17601	"CHEBI:38118; CHEBI:38120"	Hydroxybutynal	0,000604573	C4H4O2	-H(-)	100
META vegan:META ctrl	11	11	0,158031951	0,165410044	0,304298647	0,124627862	0,124627862	83,04853138	"HMDB0001184; HMDB0012157; HMDB0031407; HMDB0031512; HMDB0031530; HMDB0031601; HMDB0031606; HMDB0031607; HMDB0032458; HMDB0037788; HMDB0040584; HMDB01184; HMDB12157; HMDB31407; HMDB31512; HMDB31530; HMDB31601; HMDB31606; HMDB31607; HMDB32458; HMDB37788; HMDB40584"	"C00557; C07330"	"CHEBI:15825; CHEBI:16486; CHEBI:51678; CHEBI:51679; CHEBI:87508; CHEBI:88419"	Methyl propenyl ketone	0,001706722	C5H8O	-H(-)	32
META vegan:META ctrl	12	12	0,016142108	0,74962357	0,838040709	0,343226048	0,343226048	85,02983961	"HMDB0000549; HMDB0002523; HMDB0003407; HMDB0010720; HMDB0031209; HMDB0033977; HMDB0034439; HMDB00549; HMDB02523; HMDB03407; HMDB10720; HMDB31209; HMDB33977; HMDB34439"	"C00741; C01770; C01771; C19309; C19443"	"CHEBI:16583; CHEBI:36253; CHEBI:41131; CHEBI:42639; CHEBI:46916"	Succinic aldehyde	-0,000336914	C4H6O2	-H(-)	100
